actual,ML_prediction,DL_prediction
TRUE,0.19315602,1.0
TRUE,0.55,1.0
TRUE,0.38317263,1.0
TRUE,0.37611905,0.0
TRUE,0.5986128,1.0
TRUE,0.42114285,0.0
TRUE,0.91,1.0
TRUE,0.605,1.0
TRUE,1.0,1.0
TRUE,0.38567558,1.0
TRUE,0.43680266,0.0
TRUE,0.21133333,1.0
TRUE,0.20875,1.0
TRUE,0.85,1.0
TRUE,0.6093292,1.0
TRUE,0.39177382,0.0
TRUE,0.2271005,0.0
TRUE,0.77783334,1.0
TRUE,0.71,1.0
TRUE,0.85,0.0
TRUE,0.49868408,0.0
TRUE,0.6093292,0.0
TRUE,0.84,1.0
TRUE,0.8,1.0
TRUE,0.5656627,0.0
TRUE,0.7469895,0.0
TRUE,0.76747113,1.0
TRUE,0.82117724,0.0
TRUE,0.43391585,0.0
TRUE,0.6093292,0.0
TRUE,0.38567558,0.0
TRUE,0.49,1.0
TRUE,0.88,1.0
TRUE,0.17984524,0.0
TRUE,0.3768862,1.0
TRUE,0.41894656,0.0
TRUE,0.0,1.0
TRUE,0.95,1.0
TRUE,0.5862396,1.0
TRUE,0.4907058,1.0
TRUE,0.96,0.0
TRUE,0.5862396,1.0
TRUE,0.15361905,1.0
TRUE,0.91,1.0
TRUE,0.965,1.0
TRUE,0.78053486,1.0
TRUE,1.0,0.0
TRUE,0.77,1.0
TRUE,0.564834,1.0
TRUE,0.5656627,1.0
TRUE,0.66617304,0.0
TRUE,0.38317263,0.0
TRUE,0.38567558,0.0
TRUE,0.41894656,1.0
TRUE,0.73713094,1.0
TRUE,0.92,1.0
TRUE,0.98,1.0
TRUE,0.5998192,1.0
TRUE,0.5700476,0.0
TRUE,0.87,1.0
TRUE,0.71692854,1.0
TRUE,0.6852496,0.0
TRUE,0.71692854,1.0
TRUE,0.76306164,0.0
TRUE,0.85,1.0
TRUE,0.99435896,1.0
TRUE,0.60216665,0.0
TRUE,0.6852496,0.0
TRUE,0.5315068,0.0
TRUE,0.47921428,0.0
TRUE,0.96,1.0
TRUE,0.3822493,1.0
TRUE,0.6193831,0.0
TRUE,0.62263876,1.0
TRUE,0.49868408,1.0
TRUE,0.99,1.0
TRUE,0.61333334,0.0
TRUE,0.5862396,1.0
TRUE,0.7132829,0.0
TRUE,0.6852496,0.0
TRUE,0.5862396,0.0
TRUE,0.5998192,0.0
TRUE,0.95,1.0
TRUE,0.6412976,0.0
TRUE,0.77,1.0
TRUE,0.65,1.0
TRUE,0.79,1.0
TRUE,0.7523232,1.0
TRUE,0.5862396,1.0
TRUE,0.5998192,1.0
TRUE,0.38567558,0.0
TRUE,0.73713094,1.0
TRUE,0.6775,0.0
TRUE,0.8808333,1.0
TRUE,0.38567558,1.0
TRUE,0.49868408,0.0
TRUE,0.6775,1.0
TRUE,0.96,0.0
TRUE,0.6636508,0.0
TRUE,0.88,0.0
TRUE,0.87333333,0.0
TRUE,0.98,1.0
TRUE,0.96,1.0
TRUE,0.38,1.0
TRUE,0.49868408,0.0
TRUE,0.76,0.0
TRUE,0.5998192,0.0
TRUE,0.75,1.0
TRUE,0.49868408,0.0
TRUE,0.36387166,1.0
TRUE,0.85,1.0
TRUE,0.92,1.0
TRUE,0.30714285,1.0
TRUE,0.72,0.0
TRUE,0.11,1.0
TRUE,0.945,1.0
TRUE,0.73713094,0.0
TRUE,0.73713094,0.0
TRUE,0.6852496,0.0
TRUE,0.92,1.0
TRUE,0.86,1.0
TRUE,0.71692854,0.0
TRUE,0.80583334,1.0
TRUE,0.48,0.0
TRUE,0.6412976,1.0
TRUE,0.97583336,1.0
TRUE,0.5733333,1.0
TRUE,0.86,0.0
TRUE,0.807,0.0
TRUE,0.73713094,1.0
TRUE,0.56,0.0
