actual,ML_prediction,DL_prediction
TRUE,0.4453878,1.0
TRUE,0.878,1.0
TRUE,0.48,0.0
TRUE,0.5610655,1.0
TRUE,0.62648666,1.0
TRUE,0.88,0.0
TRUE,0.71,1.0
TRUE,0.93,0.0
TRUE,0.40275377,1.0
TRUE,0.49964988,1.0
TRUE,0.4578712,1.0
TRUE,0.93733335,1.0
TRUE,0.61654365,0.0
TRUE,0.9,0.0
TRUE,0.984,1.0
TRUE,0.32082108,0.0
TRUE,0.7366667,0.0
TRUE,0.94,1.0
TRUE,0.94166666,0.0
TRUE,0.5011714,0.0
TRUE,0.6333757,0.0
TRUE,0.91,0.0
TRUE,0.85,1.0
TRUE,0.61258274,0.0
TRUE,0.50364727,1.0
TRUE,0.771,0.0
TRUE,0.89,1.0
TRUE,0.43,1.0
TRUE,0.66809815,1.0
TRUE,0.69328785,1.0
TRUE,0.6333757,0.0
TRUE,0.6291746,1.0
TRUE,0.40275377,0.0
TRUE,0.6,1.0
TRUE,0.99,1.0
TRUE,0.5585,0.0
TRUE,0.40827885,0.0
TRUE,0.93,1.0
TRUE,0.5057688,0.0
TRUE,0.50364727,1.0
TRUE,0.3237143,1.0
TRUE,0.869,0.0
TRUE,0.74161905,1.0
TRUE,0.89,1.0
TRUE,0.97,0.0
TRUE,0.59,0.0
TRUE,0.91,0.0
TRUE,0.98,1.0
TRUE,0.6850128,0.0
TRUE,0.3799126,1.0
TRUE,0.40275377,0.0
TRUE,0.80254185,1.0
TRUE,0.97,1.0
TRUE,0.99,1.0
TRUE,0.74458426,1.0
TRUE,0.6574127,0.0
TRUE,0.4785,0.0
TRUE,0.62,1.0
TRUE,0.39048445,1.0
TRUE,0.71752274,1.0
TRUE,0.5700107,0.0
TRUE,0.63638556,0.0
TRUE,0.55,1.0
TRUE,0.94916666,1.0
TRUE,0.6287698,1.0
TRUE,0.5700107,0.0
TRUE,0.58716667,0.0
TRUE,0.21089286,0.0
TRUE,0.91,1.0
TRUE,0.48967004,1.0
TRUE,0.99,1.0
TRUE,0.71714926,0.0
TRUE,0.7227632,1.0
TRUE,0.50364727,1.0
TRUE,0.5011714,1.0
TRUE,0.68562496,1.0
TRUE,0.9,1.0
TRUE,0.36125,0.0
TRUE,0.50364727,1.0
TRUE,0.5700107,0.0
TRUE,0.99333334,1.0
TRUE,0.5700107,1.0
TRUE,0.50364727,0.0
TRUE,0.5455,0.0
TRUE,0.3494762,1.0
TRUE,0.7036864,0.0
TRUE,0.63,1.0
TRUE,0.94,1.0
TRUE,0.36,1.0
TRUE,0.67653644,1.0
TRUE,0.74458426,1.0
TRUE,0.40275377,1.0
TRUE,0.80254185,1.0
TRUE,0.5699015,0.0
TRUE,0.90833336,0.0
TRUE,0.40275377,1.0
TRUE,0.5011714,0.0
TRUE,0.90833336,1.0
TRUE,0.7013968,1.0
TRUE,1.0,1.0
TRUE,0.7866667,1.0
TRUE,0.97,1.0
TRUE,0.64107746,1.0
TRUE,0.8435357,0.0
TRUE,0.96,1.0
TRUE,0.5011714,1.0
TRUE,0.81,1.0
TRUE,0.74458426,0.0
TRUE,0.88666666,1.0
TRUE,0.5011714,0.0
TRUE,0.3328874,0.0
TRUE,0.84,1.0
TRUE,0.64,0.0
TRUE,0.87,0.0
TRUE,0.8,1.0
TRUE,0.8975,1.0
TRUE,0.96,1.0
TRUE,0.80254185,0.0
TRUE,0.5700107,1.0
TRUE,1.0,1.0
TRUE,0.6,1.0
TRUE,1.0,1.0
TRUE,0.54,0.0
TRUE,0.7036864,1.0
TRUE,0.93,1.0
TRUE,0.6972738,1.0
TRUE,0.94,0.0
TRUE,0.79,0.0
TRUE,0.6335079,0.0
TRUE,0.72,0.0
TRUE,0.5219402,0.0
TRUE,0.69,1.0
TRUE,0.5610655,1.0
TRUE,0.6850128,1.0
TRUE,0.6979167,1.0
TRUE,0.5011714,1.0
TRUE,0.3209762,1.0
TRUE,0.91,1.0
TRUE,0.49,0.0
TRUE,0.93,0.0
TRUE,0.94916666,1.0
TRUE,1.0,0.0
TRUE,0.71,1.0
TRUE,0.5700107,1.0
TRUE,0.45,0.0
TRUE,0.84,1.0
TRUE,0.66833335,1.0
TRUE,0.6243629,1.0
TRUE,0.895,1.0
TRUE,0.74,1.0
TRUE,0.9164709,0.0
TRUE,0.37,0.0
TRUE,0.77,1.0
TRUE,0.80254185,0.0
TRUE,0.68562496,1.0
TRUE,0.40275377,0.0
TRUE,0.3209762,0.0
TRUE,0.89,0.0
TRUE,0.8947407,1.0
TRUE,0.5558756,1.0
TRUE,0.83,0.0
TRUE,0.63638556,0.0
TRUE,0.592,1.0
TRUE,0.52,1.0
TRUE,0.3209762,0.0
TRUE,0.5011714,0.0
TRUE,0.6850128,1.0
TRUE,0.61258274,1.0
TRUE,0.3316943,1.0
TRUE,0.8435357,1.0
TRUE,0.53,1.0
TRUE,0.50783336,1.0
TRUE,0.95,1.0
TRUE,0.57,1.0
TRUE,0.9,0.0
TRUE,0.59,0.0
TRUE,0.76039934,1.0
TRUE,0.57666665,1.0
TRUE,0.77166665,1.0
