actual,ML_prediction,DL_prediction
TRUE,0.89,1.0
TRUE,0.4331872,1.0
TRUE,0.526,0.0
TRUE,0.44216108,1.0
TRUE,0.4652508,1.0
TRUE,0.9,1.0
TRUE,0.36,1.0
TRUE,0.86,1.0
TRUE,0.37201297,1.0
TRUE,0.5934453,1.0
TRUE,0.61319697,1.0
TRUE,0.905,0.0
TRUE,0.37201297,0.0
TRUE,0.21316667,0.0
TRUE,0.85,0.0
TRUE,0.8729087,1.0
TRUE,0.55691594,1.0
TRUE,0.67392856,0.0
TRUE,0.65,1.0
TRUE,0.25266665,0.0
TRUE,0.50932795,0.0
TRUE,0.6078379,0.0
TRUE,0.83,1.0
TRUE,0.60737985,0.0
TRUE,0.5721692,1.0
TRUE,0.75016665,1.0
TRUE,0.39369047,1.0
TRUE,0.32,1.0
TRUE,0.52804816,1.0
TRUE,0.7945357,1.0
TRUE,0.3746766,0.0
TRUE,0.6078379,1.0
TRUE,0.37201297,0.0
TRUE,0.85,1.0
TRUE,1.0,1.0
TRUE,0.65,1.0
TRUE,0.017333332,0.0
TRUE,0.3990827,0.0
TRUE,0.0,1.0
TRUE,0.99,1.0
TRUE,0.5721692,1.0
TRUE,0.75657433,1.0
TRUE,0.9,0.0
TRUE,0.5721692,1.0
TRUE,0.7754762,1.0
TRUE,0.61858183,1.0
TRUE,0.6,0.0
TRUE,0.76,0.0
TRUE,0.5930992,1.0
TRUE,0.60737985,0.0
TRUE,0.7479513,0.0
TRUE,0.4331872,0.0
TRUE,0.37201297,0.0
TRUE,0.3990827,1.0
TRUE,0.6780382,1.0
TRUE,0.99,1.0
TRUE,0.79333335,1.0
TRUE,0.5440755,1.0
TRUE,0.7270476,1.0
TRUE,0.82,1.0
TRUE,0.42498764,1.0
TRUE,0.6505798,1.0
TRUE,0.6505798,1.0
TRUE,0.700734,0.0
TRUE,0.82,1.0
TRUE,0.96386904,1.0
TRUE,0.32,1.0
TRUE,0.63370574,0.0
TRUE,0.77661556,0.0
TRUE,0.41657144,0.0
TRUE,0.965,1.0
TRUE,0.40081236,1.0
TRUE,0.96,1.0
TRUE,0.57347196,1.0
TRUE,0.62768257,1.0
TRUE,0.5721692,1.0
TRUE,0.50932795,1.0
TRUE,0.6560325,1.0
TRUE,0.77,1.0
TRUE,0.83,1.0
TRUE,0.493,0.0
TRUE,0.5721692,1.0
TRUE,0.8639881,0.0
TRUE,0.63370574,1.0
TRUE,0.5721692,0.0
TRUE,0.6,0.0
TRUE,0.21786183,1.0
TRUE,0.92,1.0
TRUE,0.8417122,0.0
TRUE,0.63,1.0
TRUE,0.68,1.0
TRUE,0.84,1.0
TRUE,0.7084048,1.0
TRUE,0.5721692,0.0
TRUE,0.5440755,1.0
TRUE,0.37201297,1.0
TRUE,0.6780382,0.0
TRUE,0.8625,1.0
TRUE,0.84,1.0
TRUE,0.37201297,1.0
TRUE,0.50932795,0.0
TRUE,0.8625,1.0
TRUE,1.0,0.0
TRUE,0.517,0.0
TRUE,0.95,1.0
TRUE,0.94,1.0
TRUE,0.77,1.0
TRUE,0.653627,0.0
TRUE,0.73683333,0.0
TRUE,0.87,1.0
TRUE,0.50932795,1.0
TRUE,0.95,1.0
TRUE,0.5721692,0.0
TRUE,0.5440755,0.0
TRUE,0.85,1.0
TRUE,0.50932795,1.0
TRUE,0.39947864,1.0
TRUE,0.89,1.0
TRUE,0.93,1.0
TRUE,0.43,0.0
TRUE,0.4415,1.0
TRUE,0.7033333,0.0
TRUE,0.58,1.0
TRUE,0.7685,1.0
TRUE,0.6780382,1.0
TRUE,0.63370574,1.0
TRUE,0.97,1.0
TRUE,0.7,1.0
TRUE,0.6505798,0.0
TRUE,0.62,0.0
TRUE,0.8417122,1.0
TRUE,0.6243809,1.0
TRUE,1.0,1.0
TRUE,1.0,0.0
TRUE,0.92,0.0
TRUE,0.6,0.0
TRUE,0.6780382,1.0
TRUE,0.74,0.0
TRUE,0.2367216,0.0
TRUE,0.79333335,0.0
TRUE,0.44216108,1.0
TRUE,0.7479513,0.0
TRUE,0.92,1.0
TRUE,0.50932795,0.0
TRUE,0.8,0.0
TRUE,0.6938095,1.0
TRUE,0.64,1.0
TRUE,0.31,0.0
TRUE,0.96386904,1.0
TRUE,0.61471426,0.0
TRUE,0.84,1.0
TRUE,0.63370574,1.0
TRUE,0.96,0.0
TRUE,0.73,1.0
TRUE,0.43,1.0
TRUE,0.66840476,1.0
TRUE,0.69,0.0
TRUE,0.89,1.0
TRUE,0.68782544,1.0
TRUE,0.95,0.0
TRUE,0.83,1.0
TRUE,0.6780382,0.0
TRUE,0.6078379,0.0
TRUE,0.6560325,0.0
TRUE,0.6938095,1.0
TRUE,0.8308333,0.0
TRUE,0.16971393,1.0
TRUE,0.67473114,1.0
TRUE,0.700734,0.0
TRUE,0.46,1.0
TRUE,0.6938095,1.0
TRUE,0.50932795,0.0
TRUE,0.60737985,0.0
